/api/admin/account-lookup | plain | DELETE | admin-spa = deny
/api/admin/account-lookup | plain | DELETE | cua-cli = deny
/api/admin/account-lookup | plain | DELETE | dcr-client = deny
/api/admin/account-lookup | plain | DELETE | empty-sub = deny
/api/admin/account-lookup | plain | DELETE | github-oidc = deny
/api/admin/account-lookup | plain | DELETE | oauth2-proxy = deny
/api/admin/account-lookup | plain | DELETE | per-key-other-ns = deny
/api/admin/account-lookup | plain | DELETE | per-key-owned-ns = deny
/api/admin/account-lookup | plain | DELETE | spa = deny
/api/admin/account-lookup | plain | DELETE | user-key = deny
/api/admin/account-lookup | plain | DELETE | user-key-verified = deny
/api/admin/account-lookup | plain | GET | admin-spa = deny
/api/admin/account-lookup | plain | GET | cua-cli = deny
/api/admin/account-lookup | plain | GET | dcr-client = deny
/api/admin/account-lookup | plain | GET | empty-sub = deny
/api/admin/account-lookup | plain | GET | github-oidc = deny
/api/admin/account-lookup | plain | GET | oauth2-proxy = deny
/api/admin/account-lookup | plain | GET | per-key-other-ns = deny
/api/admin/account-lookup | plain | GET | per-key-owned-ns = deny
/api/admin/account-lookup | plain | GET | spa = deny
/api/admin/account-lookup | plain | GET | user-key = deny
/api/admin/account-lookup | plain | GET | user-key-verified = deny
/api/admin/account-lookup | plain | PATCH | admin-spa = deny
/api/admin/account-lookup | plain | PATCH | cua-cli = deny
/api/admin/account-lookup | plain | PATCH | dcr-client = deny
/api/admin/account-lookup | plain | PATCH | empty-sub = deny
/api/admin/account-lookup | plain | PATCH | github-oidc = deny
/api/admin/account-lookup | plain | PATCH | oauth2-proxy = deny
/api/admin/account-lookup | plain | PATCH | per-key-other-ns = deny
/api/admin/account-lookup | plain | PATCH | per-key-owned-ns = deny
/api/admin/account-lookup | plain | PATCH | spa = deny
/api/admin/account-lookup | plain | PATCH | user-key = deny
/api/admin/account-lookup | plain | PATCH | user-key-verified = deny
/api/admin/account-lookup | plain | POST | admin-spa = allow
/api/admin/account-lookup | plain | POST | cua-cli = deny
/api/admin/account-lookup | plain | POST | dcr-client = deny
/api/admin/account-lookup | plain | POST | empty-sub = deny
/api/admin/account-lookup | plain | POST | github-oidc = deny
/api/admin/account-lookup | plain | POST | oauth2-proxy = deny
/api/admin/account-lookup | plain | POST | per-key-other-ns = deny
/api/admin/account-lookup | plain | POST | per-key-owned-ns = deny
/api/admin/account-lookup | plain | POST | spa = deny
/api/admin/account-lookup | plain | POST | user-key = deny
/api/admin/account-lookup | plain | POST | user-key-verified = deny
/api/admin/account-lookup | plain | QUERY | admin-spa = deny
/api/admin/account-lookup | plain | QUERY | cua-cli = deny
/api/admin/account-lookup | plain | QUERY | dcr-client = deny
/api/admin/account-lookup | plain | QUERY | empty-sub = deny
/api/admin/account-lookup | plain | QUERY | github-oidc = deny
/api/admin/account-lookup | plain | QUERY | oauth2-proxy = deny
/api/admin/account-lookup | plain | QUERY | per-key-other-ns = deny
/api/admin/account-lookup | plain | QUERY | per-key-owned-ns = deny
/api/admin/account-lookup | plain | QUERY | spa = deny
/api/admin/account-lookup | plain | QUERY | user-key = deny
/api/admin/account-lookup | plain | QUERY | user-key-verified = deny
/api/admin/feature-flags | plain | DELETE | admin-spa = allow
/api/admin/feature-flags | plain | DELETE | cua-cli = deny
/api/admin/feature-flags | plain | DELETE | dcr-client = deny
/api/admin/feature-flags | plain | DELETE | empty-sub = deny
/api/admin/feature-flags | plain | DELETE | github-oidc = deny
/api/admin/feature-flags | plain | DELETE | oauth2-proxy = deny
/api/admin/feature-flags | plain | DELETE | per-key-other-ns = deny
/api/admin/feature-flags | plain | DELETE | per-key-owned-ns = deny
/api/admin/feature-flags | plain | DELETE | spa = deny
/api/admin/feature-flags | plain | DELETE | user-key = deny
/api/admin/feature-flags | plain | DELETE | user-key-verified = deny
/api/admin/feature-flags | plain | GET | admin-spa = allow
/api/admin/feature-flags | plain | GET | cua-cli = deny
/api/admin/feature-flags | plain | GET | dcr-client = deny
/api/admin/feature-flags | plain | GET | empty-sub = deny
/api/admin/feature-flags | plain | GET | github-oidc = deny
/api/admin/feature-flags | plain | GET | oauth2-proxy = deny
/api/admin/feature-flags | plain | GET | per-key-other-ns = deny
/api/admin/feature-flags | plain | GET | per-key-owned-ns = deny
/api/admin/feature-flags | plain | GET | spa = deny
/api/admin/feature-flags | plain | GET | user-key = deny
/api/admin/feature-flags | plain | GET | user-key-verified = deny
/api/admin/feature-flags | plain | PATCH | admin-spa = allow
/api/admin/feature-flags | plain | PATCH | cua-cli = deny
/api/admin/feature-flags | plain | PATCH | dcr-client = deny
/api/admin/feature-flags | plain | PATCH | empty-sub = deny
/api/admin/feature-flags | plain | PATCH | github-oidc = deny
/api/admin/feature-flags | plain | PATCH | oauth2-proxy = deny
/api/admin/feature-flags | plain | PATCH | per-key-other-ns = deny
/api/admin/feature-flags | plain | PATCH | per-key-owned-ns = deny
/api/admin/feature-flags | plain | PATCH | spa = deny
/api/admin/feature-flags | plain | PATCH | user-key = deny
/api/admin/feature-flags | plain | PATCH | user-key-verified = deny
/api/admin/feature-flags | plain | POST | admin-spa = allow
/api/admin/feature-flags | plain | POST | cua-cli = deny
/api/admin/feature-flags | plain | POST | dcr-client = deny
/api/admin/feature-flags | plain | POST | empty-sub = deny
/api/admin/feature-flags | plain | POST | github-oidc = deny
/api/admin/feature-flags | plain | POST | oauth2-proxy = deny
/api/admin/feature-flags | plain | POST | per-key-other-ns = deny
/api/admin/feature-flags | plain | POST | per-key-owned-ns = deny
/api/admin/feature-flags | plain | POST | spa = deny
/api/admin/feature-flags | plain | POST | user-key = deny
/api/admin/feature-flags | plain | POST | user-key-verified = deny
/api/admin/feature-flags | plain | QUERY | admin-spa = allow
/api/admin/feature-flags | plain | QUERY | cua-cli = deny
/api/admin/feature-flags | plain | QUERY | dcr-client = deny
/api/admin/feature-flags | plain | QUERY | empty-sub = deny
/api/admin/feature-flags | plain | QUERY | github-oidc = deny
/api/admin/feature-flags | plain | QUERY | oauth2-proxy = deny
/api/admin/feature-flags | plain | QUERY | per-key-other-ns = deny
/api/admin/feature-flags | plain | QUERY | per-key-owned-ns = deny
/api/admin/feature-flags | plain | QUERY | spa = deny
/api/admin/feature-flags | plain | QUERY | user-key = deny
/api/admin/feature-flags | plain | QUERY | user-key-verified = deny
/api/admin/feature-flags/{key} | key | DELETE | admin-spa = allow
/api/admin/feature-flags/{key} | key | DELETE | cua-cli = deny
